with batch_size = 20, n_epochs = 30, numb of images in th etrain set = 60000
Epoch: 22, Batch: 3000, Avg. Loss: 0.6600823644697666
Epoch: 23, Batch: 1000, Avg. Loss: 0.6628017669618129
Epoch: 23, Batch: 2000, Avg. Loss: 0.6591938768774271
Epoch: 23, Batch: 3000, Avg. Loss: 0.6047194617837668
Epoch: 24, Batch: 1000, Avg. Loss: 0.4830631893649697
Epoch: 24, Batch: 2000, Avg. Loss: 0.46881375183165075
Epoch: 24, Batch: 3000, Avg. Loss: 0.4691200814247131
Epoch: 25, Batch: 1000, Avg. Loss: 0.45998211029917
Epoch: 25, Batch: 2000, Avg. Loss: 0.46574868988990786
Epoch: 26, Batch: 1000, Avg. Loss: 0.461989499296993
Epoch: 26, Batch: 2000, Avg. Loss: 0.450675770804286
Epoch: 26, Batch: 3000, Avg. Loss: 0.4621982453614473
Epoch: 27, Batch: 1000, Avg. Loss: 0.4483337511792779
Epoch: 27, Batch: 2000, Avg. Loss: 0.4501567263901234
Epoch: 27, Batch: 3000, Avg. Loss: 0.4581144262179732
Epoch: 28, Batch: 1000, Avg. Loss: 0.4476764613091946
Epoch: 28, Batch: 2000, Avg. Loss: 0.451900620020926
Epoch: 29, Batch: 1000, Avg. Loss: 0.4454144196398556
Epoch: 29, Batch: 2000, Avg. Loss: 0.4431675164923072
Epoch: 29, Batch: 3000, Avg. Loss: 0.4415123707652092
Epoch: 30, Batch: 1000, Avg. Loss: 0.43902141391485927
Epoch: 30, Batch: 2000, Avg. Loss: 0.4334284753650427
Epoch: 30, Batch: 3000, Avg. Loss: 0.44374771807342767
Finished Training
